,address,x,y
0,ARTRA,26196.0124962945,30258.5256685447
1,LIIV RESIDENCES,21692.4702539509,30106.7883918677
2,STIRLING RESIDENCES,24859.022383851,30450.7527297195
3,THE CLEMENT CANOPY,20780.6274492061,32132.3530382514
4,TWIN VEW,19002.127368941,33567.1636139564
5,WHISTLER GRAND,19183.5367132723,33572.7068016902
6,MARGARET VILLE,24604.6049677869,31318.9153531417
7,SOUTH BEACH RESIDENCES,30527.5658502206,30752.0395434778
8,BELMONT ROAD,24254.4160827033,33296.9408680171
9,WHITLEY ROAD,27190.5096380044,33870.5742909314
10,THE WOODLEIGH RESIDENCES,32265.3099390697,35647.0740618892
11,CHANCERY HILL VILLAS,28632.457575717,34179.6016379017
12,GREENMEAD AVENUE,25039.0319636873,35165.6976084105
13,MARTIN MODERN,28491.8039806578,30625.1761628725
14,NAROOMA ROAD,26713.3631521629,34107.1743254392
15,LENGKOK ANGSA,27650.575938485,31538.2372865285
16,70@TRURO,29754.1681371024,33019.5049168859
17,PARK PLACE RESIDENCES AT PLQ,34628.7006367436,33173.8376126308
18,PARK COLONIAL,32040.4707296425,35621.4512148295
19,JALAN KEMBANGAN,36940.4598450707,33859.3675845579
20,VAUGHAN ROAD,32200.6961533294,36606.047714036
21,ONE TREE HILL COLLECTION,27160.7530519785,31482.7409663517
22,JERVOIS HILL,26455.0005521793,31008.2310297639
23,GREENVIEW CRESCENT,24982.4172036455,35094.7878901784
24,ARENA RESIDENCES,33267.4896599771,32447.1519642286
25,THE TRE VER,31510.9960988825,35465.662507996
26,ROCHALIE DRIVE,26511.2771742326,31589.3072384904
27,BERRIMA ROAD,26967.4890555124,34158.4504538628
28,CHANCERY HILL ROAD,28622.1633311257,34112.6118037673
29,MOONSTONE LANE,31653.1671246569,34411.0482286035
30,10 EVELYN,28808.2269050339,33171.2743986975
31,GREENDALE AVENUE,25106.2385674572,34887.4328746843
32,CLUNY HILL,25754.2112899343,33303.7974079717
33,DYSON ROAD,28722.3185726173,34287.4771528685
34,NEW FUTURA,28103.9424097724,31179.7370196097
35,SALLIM ROAD,33388.7348440397,34268.007223537
36,JANSEN ROAD,32869.7739623931,37980.1264313507
37,ARTHUR ROAD,34081.6612210088,31546.2029691622
38,TRANQUILIA @ KISMIS,20762.2226384915,35458.0366105698
39,AFFINITY AT SERANGOON,32494.8205880318,38664.2543580402
40,GRANDEUR PARK RESIDENCES,40451.5767383222,34202.333499033
41,SEASIDE RESIDENCES,38468.5706023192,32207.50980388
42,PARKSTONE ROAD,34790.0364083396,32095.7466288339
43,YIO CHU KANG ROAD,31395.6158196455,41279.63728724
44,KATONG APARTMENTS,35860.8857065402,32802.7137221862
45,HUNDRED PALMS RESIDENCES,32951.1259397781,39455.4168653563
46,URBAN VILLAS,33482.9770310121,36573.5433854777
47,JC VILLE,35984.0748263337,32962.3296642192
48,THE JOVELL,42845.9964778954,37745.089697767
49,VERDURE VILLAS,36478.4600257147,44481.6784087829
50,JALAN BINGKA,22066.9728679162,35874.7217503626
51,RIVERCOVE RESIDENCES,33641.2584879119,41632.7736037355
52,CASA AL MARE,41772.1038522776,39981.4008106273
53,SUNBIRD VIEW,41668.5997275701,35740.3688562252
54,THE TAPESTRY,38616.7205781015,37303.397032395
55,DAINTREE RESIDENCE,21005.8547244528,35723.7731023617
56,THE GARDEN RESIDENCES,32124.2206666535,38651.9325040132
57,TORIE MANSIONS,35814.2451953385,32696.0248910356
58,ONAN ROAD,35269.3101385086,32871.6501959102
59,JADESCAPE,28641.6182112573,37162.7025452908
60,SIAN TUAN AVENUE,22719.5843376972,35652.3807180112
61,RIVERFRONT RESIDENCES,35418.6393489428,39236.5311564505
62,MONT TIMAH,21745.7541638268,36513.3981171772
63,HOW SUN DRIVE,33114.8190030697,36332.2406350378
64,THE BROOKS II,26386.5143429339,42865.6189393289
65,MONT BOTANIK RESIDENCE,20023.8211313635,37747.2867598999
66,WAK HASSAN DRIVE,28552.4407182341,49136.0759029202
67,KERONG WALK,28708.2553593291,49100.7174100059
68,KANDIS RESIDENCE,28408.1860120567,48656.6559369583
69,NIM COLLECTION,31336.9853394199,40179.8576282114
70,BELGRAVIA GREEN,31464.8961436022,40251.4315423388
71,THE BROOKS I,26459.5132737355,42966.960658744
72,CASHEW GREEN,20887.7794713117,39418.4782417808
73,LE QUEST,17740.6200083112,37560.6538880114
74,INZ RESIDENCE,17569.5581676988,39608.9348075148
75,THE SHORELINE RESIDENCES I,28742.6818587054,49101.5630016644
76,PARC BOTANNIA,32610.8802658701,42248.1772241909
