,address,x,y
0,174 ANG MO KIO AVE 4,28478.5794445518,39676.8076131307
1,541 ANG MO KIO AVE 10,30482.0265488019,39546.8847144637
2,163 ANG MO KIO AVE 4,28540.6237866869,39505.5349862799
3,446 ANG MO KIO AVE 10,30452.6278010411,38865.5836678147
4,557 ANG MO KIO AVE 10,30717.3733190447,39292.9307314977
5,603 ANG MO KIO AVE 5,28271.2227501078,40241.1067093425
6,709 ANG MO KIO AVE 8,29596.2838566853,39238.9064364731
7,333 ANG MO KIO AVE 1,30045.4833755009,38155.8667959087
8,109 ANG MO KIO AVE 4,28486.2375773806,39123.8301048912
9,564 ANG MO KIO AVE 3,30903.0062578237,39096.4049507398
10,218 ANG MO KIO AVE 1,28937.4798521493,38573.4500436727
11,556 ANG MO KIO AVE 10,30705.0497700106,39337.8971205205
12,156 ANG MO KIO AVE 4,28737.7136718584,39720.786842132
13,471 ANG MO KIO AVE 10,30602.4007461108,38390.6719205827
14,434 ANG MO KIO AVE 10,30240.9446312729,38880.0179849621
15,560 ANG MO KIO AVE 10,30879.4345812155,39203.4293024894
16,332 ANG MO KIO AVE 1,30074.0655233292,38192.1080754083
17,421 ANG MO KIO AVE 10,30186.6311256625,38602.7752099652
18,506 ANG MO KIO AVE 8,29738.0458955755,39599.7366699446
19,631 ANG MO KIO AVE 4,28825.4269894604,40169.9519462511
20,153 ANG MO KIO AVE 5,28972.4195780819,39816.1320199538
21,442 ANG MO KIO AVE 10,30438.7244448643,38632.5267916117
22,558 ANG MO KIO AVE 10,30879.3986833869,39249.8558493145
23,212 ANG MO KIO AVE 3,28923.6335511226,38980.8641569465
24,152 ANG MO KIO AVE 5,28761.3102590162,39852.6397485137
25,331 ANG MO KIO AVE 1,29941.7456122274,38240.8815714214
26,121 ANG MO KIO AVE 3,29134.847476339,39080.6080295015
27,130 ANG MO KIO AVE 3,28952.653192387,39157.1563354153
28,646 ANG MO KIO AVE 6,29162.3996954858,40152.0284570139
29,424 ANG MO KIO AVE 3,29946.4514361918,38959.087371774
30,584 ANG MO KIO AVE 3,30245.7025161693,39192.0132178757
31,412 ANG MO KIO AVE 10,30444.9365247712,38433.6968303248
32,612 ANG MO KIO AVE 4,28588.051447073,40098.1474808902
33,562 ANG MO KIO AVE 3,30860.127058154,39133.2333080526
34,223 ANG MO KIO AVE 1,28534.6432265881,38676.1728609167
35,150 ANG MO KIO AVE 5,28968.1332683712,39865.8164612055
36,468 ANG MO KIO AVE 10,30556.1477861721,38546.6638769265
37,177 ANG MO KIO AVE 4,28534.678670397,39758.7219180018
